Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2000,1,7.7,7.2,8.3,7.0,8.6,6.8,8.8,1,1.4,0.8,1.5,1.0,1.7,0.8,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.5,1.9,1.5,1.9,1.4,2.0,1,1.1,0.9,1.2,0.8,1.2,0.7,1.3,4,11.9,10.4,12.9,10.3,13.4,9.7,13.8
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.6,4.4,5.0,4.3,5.1,4.2,5.2,1,12.7,10.7,13.6,10.3,14.3,10.0,14.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.3,15.1,18.6,14.6,19.4,14.2,19.9
2002,1,13.2,13.2,14.6,12.9,14.8,12.7,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.1,3.7,4.4,3.6,4.6,3.5,4.8,2,3.3,2.8,3.6,2.7,3.8,2.6,4.0,1,1.9,1.5,1.8,1.4,1.8,1.4,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22.5,21.2,24.4,20.6,25.0,20.2,25.6
2003,1,7.2,6.6,7.3,6.4,7.5,6.3,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11.4,10.3,12.8,9.8,13.3,9.4,13.7,1,7.8,6.7,8.1,6.5,8.5,6.4,8.8,1,5.6,4.7,5.9,4.6,6.2,4.4,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,32.0,28.3,34.1,27.3,35.5,26.5,36.6
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.3,1.5,1.2,1.7,4,75.9,68.0,80.9,66.0,83.9,64.8,85.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,77.3,69.3,82.4,67.3,85.4,66.0,87.2
2005,1,2.0,2.0,2.3,1.9,2.3,1.9,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.2,1.0,1.2,1.0,1.3,4,224.4,188.4,245.2,178.9,259.3,173.2,268.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,227.6,191.5,248.7,181.8,262.8,176.1,271.8
2006,1,7.9,7.4,8.5,7.2,8.7,7.0,8.9,1,2.0,1.9,2.8,1.7,3.0,1.6,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8.3,7.6,8.7,7.4,8.9,7.1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.7,1.9,1.6,2.0,1.6,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.1,18.6,21.9,17.9,22.6,17.3,23.3
2007,1,4.6,4.5,5.0,4.4,5.1,4.4,5.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.4,3.9,5.1,3.7,5.2,3.6,5.3,1,3.2,2.8,3.2,2.8,3.3,2.7,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5,3.4,3.9,3.3,4.0,3.1,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,15.7,14.6,17.2,14.2,17.6,13.8,18.1
2008,1,8.6,8.1,9.3,7.9,9.5,7.8,9.7,1,12.2,9.6,12.1,9.1,12.5,8.9,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.1,10.3,11.9,10.1,12.3,9.9,12.4,3,45.9,42.0,49.1,40.8,50.7,40.1,51.7,1,1.5,1.4,1.7,1.3,1.8,1.2,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,79.3,71.4,84.1,69.2,86.8,67.9,88.4
2009,1,4.3,4.2,5.1,4.1,5.4,4.0,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9.8,9.0,10.0,8.9,10.2,8.8,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.4,1.0,1.4,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,15.3,14.3,16.5,14.0,17.0,13.8,17.5
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.9,3.5,5.1,3.4,5.5,3.2,5.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.8,10.6,12.1,10.3,12.5,10.0,12.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,15.7,14.1,17.2,13.7,18.0,13.2,18.5
2011,1,14.1,12.7,14.6,12.4,15.0,12.3,15.3,2,5.9,5.7,6.8,5.4,7.0,5.2,7.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,36.9,34.3,39.7,33.0,41.3,31.7,43.2,2,18.9,16.6,20.5,16.1,21.4,15.8,22.0,1,2.1,1.7,2.4,1.7,2.4,1.6,2.6,1,2.1,1.7,2.2,1.7,2.3,1.6,2.3,16,80.0,72.7,86.2,70.3,89.4,68.2,92.6
2012,1,34.5,33.3,37.3,32.5,38.2,32.0,38.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,18.8,17.4,19.4,16.9,19.8,16.8,20.2,2,78.0,64.7,85.4,61.3,90.0,59.4,92.6,1,2.0,1.7,2.2,1.7,2.3,1.6,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,133.3,117.1,144.3,112.4,150.3,109.8,154.1
2013,1,11.8,11.1,12.9,10.8,13.3,10.6,13.5,2,2.9,2.6,3.5,2.5,3.7,2.4,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.0,10.2,11.6,10.0,12.0,9.9,12.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,25.7,23.9,28.0,23.3,29.0,22.9,29.7
2014,1,4.4,3.8,5.0,3.5,5.3,3.3,5.5,1,1.1,1.1,1.3,0.9,1.3,0.9,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.3,10.6,11.6,10.5,11.8,10.3,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.3,2.7,2.1,2.7,2.0,2.9,8,19.2,17.8,20.6,17.0,21.1,16.5,21.8
2015,1,5.0,4.5,6.3,4.2,6.9,4.0,7.2,2,5.0,4.1,5.2,3.9,5.4,3.8,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.0,7.6,8.7,7.3,9.1,7.2,9.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.4,3.1,3.5,3.0,3.6,3.0,3.6,1,3.3,3.2,3.4,3.1,3.6,3.0,3.7,10,24.7,22.5,27.1,21.5,28.6,21.0,29.2
2016,1,3.8,2.6,4.2,2.4,4.4,2.2,4.6,4,17.5,13.7,20.6,12.9,21.7,12.1,22.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,15.9,14.2,16.8,13.5,17.0,13.2,17.5,1,11.0,8.1,12.0,7.9,12.3,7.7,12.7,1,2.6,2.3,2.8,2.2,2.8,2.2,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,50.8,40.9,56.4,38.9,58.2,37.4,60.2
2017,1,2.6,2.0,2.8,1.9,3.0,1.8,3.2,2,3.4,2.6,3.8,2.4,4.0,2.3,4.2,1,1.1,0.9,1.2,0.9,1.3,0.7,1.3,8,17.5,16.4,18.5,15.9,19.3,15.2,19.8,3,278.3,224.7,322.5,202.2,354.4,189.1,367.6,1,18.9,15.5,21.5,14.9,23.1,14.7,23.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,321.8,262.1,370.3,238.2,405.1,223.8,419.7
2018,1,3.1,2.8,3.5,2.7,3.6,2.6,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,12.1,10.3,13.0,10.3,13.6,9.9,14.3,2,50.4,41.2,59.8,36.1,64.9,31.4,69.5,1,24.7,20.3,29.1,19.6,29.9,18.5,30.9,2,3.4,2.9,3.8,2.8,4.0,2.6,4.1,14,93.7,77.5,109.2,71.5,116.0,65.0,122.7
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20.3,16.1,23.7,15.5,24.9,14.5,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,14.0,12.9,15.6,12.1,16.4,11.5,17.2,2,6.7,4.2,8.5,4.0,9.1,3.6,9.7,1,4.6,3.3,5.4,3.1,6.1,2.6,6.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,45.6,36.5,53.2,34.7,56.5,32.2,61.5
2020,1,4.5,3.9,5.0,3.7,5.3,3.5,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,33.9,30.7,36.8,29.6,38.2,28.3,40.1,7,40.1,35.2,45.0,33.1,47.7,31.5,49.4,1,16.5,13.5,19.5,13.0,18.8,12.5,20.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,95.0,83.3,106.3,79.4,110.0,75.8,115.5
