"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","50000.0007450581","14789999.961853","8380000.11444092","11590000.1525879","17979999.5422363","11140000.3433228","8899999.61853027","12800000.1907349","20879999.1607666","11600000.3814697","8010000.22888184","5650000.09536743","6690000.05722046","10300000.1907349","10460000.038147","14689999.5803833","7099999.90463257","6789999.96185303","9949999.80926514","6539999.96185303","4400000.09536743","5909999.84741211","2859999.89509583","4929999.82833862","5820000.17166138","12439999.5803833","11630000.1144409","13270000.4577637","11069999.6948242","15899999.6185303","6320000.17166138","1879999.99523163","8210000.03814697","3420000.07629395","4880000.11444092","5340000.15258789","4070000.17166138","18020000.4577637","12359999.6566772","1860000.01430511","1509999.99046326","2430000.0667572","1649999.97615814","-200000.002980232","10699999.8092651","17590000.1525879","28000000","",
"Australia","AUS","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330000.013113022","9810000.4196167","33650001.5258789","215550003.051758","150270004.272461","125110000.610352","251550003.051758","166529998.779297","234500000","187880004.882813","296890014.648438","451399993.896484","365559997.558594","204940002.441406","234589996.337891","220199996.948242","213330001.831055","212520004.272461","212360000.610352","155229995.727539","247369995.117188","241380004.882813","-73010002.1362305","199809997.558594","73309997.5585938","78650001.5258789","126180000.305176","87410003.6621094","125769996.643066","",
"Burundi","BDI","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","76019996.6430664","71989997.8637695","103099998.474121","56529998.7792969","71419998.1689453","41430000.3051758","69879997.253418","80389999.3896484","97040000.9155273","108290000.915527","123419998.168945","138759994.506836","148330001.831055","133750000","163380004.882813","175779998.779297","162559997.558594","153380004.882813","204729995.727539","231070007.324219","261820007.324219","306500000","323859985.351563","362559997.558594","372799987.792969","378239990.234375","408250000","349320007.324219","337850006.103516","354829986.572266","397880004.882813","376399993.896484","427299987.792969","309029998.779297","421970001.220703","354970001.220703","143309997.558594","81000000","100599998.474121","111190002.441406","145149993.896484","231020004.272461","260339996.337891","296609985.351563","421119995.117188","418929992.675781","474399993.896484","505890014.648438","493609985.351563","565729980.46875","617789978.027344","534340026.855469","504250000","529750000","487980010.986328","393630004.882813","787729980.46875","455559997.558594","451079986.572266","601539978.027344","",
"Belgium","BEL","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","189999.997615814","11130000.1144409","29420000.0762939","34069999.6948242","139070007.324219","134559997.558594","110580001.831055","118830001.831055","95959999.0844727","90190002.4414063","100870002.746582","181130004.882813","109639999.389648","126959999.084473","141619995.117188","198259994.506836","186000000","161860000.610352","176339996.337891","215789993.286133","202529998.779297","200270004.272461","203649993.896484","221610000.610352","205949996.948242","256489990.234375","283980010.986328","237919998.168945","266350006.103516","459750000","399799987.792969","387010009.765625","392570007.324219","401260009.765625","344140014.648438","339390014.648438","350309997.558594","306869995.117188","278540008.544922","296160003.662109","382929992.675781","439799987.792969","333579986.572266","384390014.648438","455540008.544922","396720001.220703","441820007.324219","480429992.675781","604030029.296875","661989990.234375","689130004.882813","655219970.703125","493179992.675781","625570007.324219","568099975.585938","465690002.441406","533330017.089844","708780029.296875","574619995.117188","612289978.027344","",
"Burkina Faso","BFA","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","1600000.02384186","13670000.0762939","39830001.8310547","36299999.2370605","121519996.643066","133919998.168945","127800003.051758","136309997.558594","157250000","161429992.675781","146399993.896484","177449996.948242","187059997.558594","275859985.351563","424600006.103516","322609985.351563","282799987.792969","365769989.013672","449670013.427734","492250000","475100006.103516","530969970.703125","538059997.558594","464690002.441406","482380004.882813","482989990.234375","572630004.882813","482140014.648438","492700012.207031","465040008.544922","488989990.234375","620830017.089844","595039978.027344","673219970.703125","599669982.910156","604059997.558594","528429992.675781","521500000","565359985.351563","564239990.234375","308869995.117188","615080017.089844","666169982.910156","693070007.324219","752080017.089844","792809997.558594","989729980.46875","945989990.234375","941809997.558594","1060199951.17188","1026020019.53125","905830017.089844","1111410034.17969","999580017.089844","1075589965.82031","1065020019.53125","1096739990.23438","932359985.351563","1108790039.0625","1175199951.17188","",
"Bangladesh","BGD","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","121809997.558594","1162650024.41406","1915430053.71094","2190979980.46875","3895639892.57813","1730250000","2535510009.76563","2735959960.9375","2822310058.59375","2836090087.89063","2514780029.29688","3176530029.29688","2385260009.76563","2741820068.35938","2413659912.10938","2560000000","2774070068.35938","2193550048.82813","2362570068.35938","2616520019.53125","2334850097.65625","2047260009.76563","1613000000","1843089965.82031","1222339965.82031","1197750000","1168859985.35156","1337270019.53125","1367949951.17188","1343839965.82031","1348880004.88281","1135160034.17969","1594979980.46875","1619640014.64844","1393719970.70313","1107400024.41406","1279609985.35156","1682839965.82031","1083479980.46875","1318810058.59375","1334000000","2001969970.70313","2477320068.35938","2287879882.8125","2721250000","2645080078.125","3903169921.875","3044679931.64063","4527919921.875","",
"Bulgaria","BGR","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21219999.3133545","482890014.648438","212149993.896484","168669998.168945","219850006.103516","137770004.272461","225610000.610352","305190002.441406","331380004.882813","373809997.558594","465329986.572266","537150024.414063","480380004.882813","532770019.53125","706750000","","","","","","","","","","","","","","","","",
