,url,headline,rating,date
1,/factchecks/2021/mar/02/pete-snyder/contrary-pete-snyder-covid-studies-dont-say-openin/,“All of the science and data say it’s perfectly safe to have teachers and students in the classroom.”,false,02-03-2021
2,/factchecks/2021/mar/01/facebook-posts/nancy-pelosi-did-not-buy-foreign-oil-stock-executi/,Says Nancy Pelosi bought $1.5 million “in foreign oil stock day before shut down of American line.”,false,01-03-2021
3,/factchecks/2021/mar/01/scott-fitzgerald/fitzgerald-overstates-claim-pork-covid-19-relief-b/,“More than 91% of the spending in this $1.9 trillion package is not used for pandemic relief.”,barely-true,01-03-2021
4,/factchecks/2021/mar/01/facebook-posts/no-there-werent-more-votes-registered-voters-2020-/,"“America has 133 million registered voters,” but “159 million votes” were cast in the 2020 presidential election.",false,01-03-2021
5,/factchecks/2021/mar/01/facebook-posts/no-kaleb-shriners-hospitals-commercials-didnt-die/,"Says Kaleb Torres, a young spokesperson for Shriners Hospitals for Children, has died.",false,01-03-2021
6,/factchecks/2021/mar/01/donald-trump/cpac-return-trump-falsely-claims-biden-halted-all-/,"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",false,01-03-2021
7,/factchecks/2021/mar/01/facebook-posts/no-id-isnt-required-visit-dc/,Identification is required “to get into Washington DC.”,false,01-03-2021
8,/factchecks/2021/mar/01/ronna-mcdaniel/yes-aclu-has-criticized-hr-1-heres-why/,Says the American Civil Liberties Union opposes H.R. 1 on grounds that “it threatens our freedom of speech.”,half-true,01-03-2021
9,/factchecks/2021/mar/01/ron-johnson/johnson-overreaches-asylum-seeker-claim/,"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",barely-true,01-03-2021
10,/factchecks/2021/mar/01/facebook-posts/no-atlantas-mayor-not-shutting-down-city-nba-all-s/,Says the Atlanta mayor is “shutting the city down for” the NBA All-Star Game weekend.,false,01-03-2021
11,/factchecks/2021/mar/01/ted-budd/budd-says-9-stimulus-targets-covid-rest-not-even-r/,"“There’s about 9% of (the American Rescue Plan) actually going to COVID, meaning 91% of it is not even COVID-related.”",half-true,01-03-2021
12,/factchecks/2021/mar/01/tom-cotton/becerras-longtime-single-payer-supporter-doesnt-me/,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",true,01-03-2021
13,/factchecks/2021/feb/26/tom-cotton/tom-cotton-falsely-claims-joe-biden-halted-deporta/,"The Biden administration “halted deportations for all illegal aliens — murderers, rapists, terrorists, MS-13 gang members are not being deported.""",false,26-02-2021
14,/factchecks/2021/feb/26/stand-america/fact-checking-whether-democrats-wish-list-19-trill/,The COVID-19 rescue bill includes money for a list of projects that are not COVID-related.,mostly-true,26-02-2021
15,/factchecks/2021/feb/26/bill-cassidy/how-much-did-new-yorks-revenue-suffer-pandemic-yea/,"“New York, for all of their complaining, Gov. Cuomo's complaining, has only had a 1.5% decrease in revenue” due to the coronavirus pandemic.",barely-true,26-02-2021
16,/factchecks/2021/feb/26/simone-gold/receiving-covid-19-does-not-enroll-you-government-/,"“If you take the vaccine, you'll be enrolled in a pharmacovigilance tracking system. It means that you've enrolled yourself in a medical trial.”",false,26-02-2021
17,/factchecks/2021/feb/26/facebook-posts/jerry-nadler-didnt-say-god-has-no-authority-house-/,Says Jerry Nadler said “God has no authority in the House of Representatives”,false,26-02-2021
18,/factchecks/2021/feb/26/j-bart-classen/coronavirus-vaccine-doesnt-cause-alzheimers-als/,"The COVID-19 vaccine could lead to prion diseases, Alzheimer’s, ALS and other neurodegenerative diseases.",pants-fire,26-02-2021
19,/factchecks/2021/feb/26/instagram-posts/chart-comparing-new-york-and-florida-covid-19-flaw/,"Due to differing lockdown orders, New York has more COVID-19 cases, deaths, hospitalizations and job losses than Florida, and New York also lags on vaccinations.",barely-true,26-02-2021
20,/factchecks/2021/feb/26/xavier-becerra/did-hhs-nominee-xavier-becerra-sue-nuns/,“I have never sued a nun — any nuns.”,half-true,26-02-2021
21,/factchecks/2021/feb/26/dan-crenshaw/wind-subsidies-arent-pushing-out-nuclear-natural-g/,“Subsidizing investment in wind has pushed gas and nuclear out. Now we live with the consequences.”,false,26-02-2021
22,/factchecks/2021/feb/26/facebook-posts/joe-biden-stumbled-over-his-words-recent-speech/,Says Joe Biden said a racial slur.,false,26-02-2021
23,/factchecks/2021/feb/26/mitch-mcconnell/how-much-goes-covid-19-vaccines-stimulus-bill/,"In the American Rescue Plan, “just about 1% of the money is for vaccines.”",mostly-true,26-02-2021
24,/factchecks/2021/feb/26/ron-johnson/johnson-target-keystone-pipeline-job-loss-claim/,"The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”",mostly-true,26-02-2021
