,url,headline,details,date
1,https://www.factcheck.org/2021/01/factchecking-trumps-farewell-remarks/,FactChecking Trump’s Farewell Remarks,"In a video farewell address on Jan. 19 and in remarks at Joint Base Andrews before leaving for Florida on Jan. 20, outgoing President Donald Trump distorted the facts on the economy, his tax cuts, veterans, the military, drug prices and more.",20-01-2021
2,https://www.factcheck.org/2021/01/what-president-biden-inherits/,What President Biden Inherits,"A raging virus, a struggling economy and a fast-growing mountain of debt. ",20-01-2021
3,https://www.factcheck.org/2021/01/what-do-the-new-coronavirus-variants-mean-for-the-pandemic/,What Do the New Coronavirus Variants Mean for the Pandemic?,"Q: What are the risks of the newly identified coronavirus variants?
A: It’s not yet known whether mutant versions cause more severe disease, but some are likely more contagious. Scientists expect vaccines will work but are monitoring the situation.",15-01-2021
4,https://www.factcheck.org/2021/01/timeline-of-national-guard-deployment-to-capitol/,Timeline of National Guard Deployment to Capitol,"On the day of the Capitol riot on Jan. 6, the first National Guard members arrived to assist at about 5:40 p.m. Here, we present a timeline about the efforts to deploy those troops.",13-01-2021
5,https://www.factcheck.org/2021/01/road-to-a-second-impeachment/,Road to a Second Impeachment,"In the aftermath of the attack on the Capitol, the House Democrats introduced legislation to impeach President Donald Trump, charging him with “inciting violence against the Government of the United States.” Here we review Trump’s comments and actions leading up to the impeachment vote.",12-01-2021
6,https://www.factcheck.org/2021/01/viral-tweet-distorts-facts-on-consequences-of-impeachment/,Viral Tweet Distorts Facts on Consequences of Impeachment,"A viral tweet that migrated to Facebook distorts the facts on the consequences of a potential, second impeachment of President Donald Trump. Impeachment alone would not strip Trump of his pension or bar him from pursuing office in the future, as the post falsely claims.",12-01-2021
7,https://www.factcheck.org/2021/01/fake-letter-attributed-to-pelosi-generates-anger-online/,Fake Letter Attributed to Pelosi Generates Anger Online,"A digitally manipulated, phony letter referring to a “Democratic Play book” and attributed to House Speaker Nancy Pelosi has been circulating online, contributing to partisan rancor following the riot at the Capitol on Jan. 6.",12-01-2021
8,https://www.factcheck.org/2021/01/factchecking-the-electoral-college-debate/,FactChecking the Electoral College Debate,"The process of certifying Joe Biden as the 46th president of the United States occurred in the early morning hours of Jan. 7, after being disrupted by rioters and delayed by Republicans who repeated false and misleading claims about the election results.",07-01-2021
9,https://www.factcheck.org/2021/01/bogus-antifa-claims-follow-capitol-riot/,Bogus Antifa Claims Follow Capitol Riot,Viral social media posts and a Republican House member have amplified claims wrongly identifying some right-wing figures at the U.S. Capitol riot as part of “antifa.” The claims feed into an unfounded conspiracy theory that anti-fascist activists in disguise orchestrated the event.,07-01-2021
0,https://www.factcheck.org/2021/01/trumps-falsehood-filled-save-america-rally/,Trump’s Falsehood-Filled ‘Save America’ Rally,"Prior to the violence that disrupted Congress’ counting of the electoral votes, President Donald Trump gave an indignant speech filled with falsehoods about the presidential election he lost two months ago to Democrat Joe Biden.",06-01-2021
