,url,headline,review,date
46,https://factcheck.thedispatch.com/p/does-a-viral-photo-show-evidence,Does a Viral Photo Show Evidence of Shredded Ballots From the Georgia Runoff?,There is no evidence to support this claim.,10-01-2021
47,https://factcheck.thedispatch.com/p/debunking-the-conspiracy-theories,Debunking the Conspiracy Theories Claiming That Antifa Led the Attack on the Capitol,Right-wing groups were planning online for weeks to protest the electoral vote count.,08-01-2021
48,https://factcheck.thedispatch.com/p/fact-checking-donald-trumps-speech,Fact Checking Donald Trump’s Speech From the ‘Save America March’,The president repeated a series of false claims that have been debunked previously.,07-01-2021
49,https://factcheck.thedispatch.com/p/did-cnn-report-that-antifa-claimed,Did CNN Report That Antifa ‘Claimed Responsibility’ for Storming Capitol Hill?,Nope.,07-01-2021
50,https://factcheck.thedispatch.com/p/did-a-facial-recognition-software,Did a Facial Recognition Software Company Identify Antifa Members at the Capitol?,No.,07-01-2021
51,https://factcheck.thedispatch.com/p/were-antifa-supporters-among-those,Were Antifa Supporters Among Those Who Overtook the Capitol Building?,Tweets from Lin Wood are misleading.,06-01-2021
52,https://factcheck.thedispatch.com/p/does-mike-pence-have-the-power-to,Does Mike Pence Have the Power to Reject Slates of Electors?,No.,06-01-2021
53,https://factcheck.thedispatch.com/p/fact-checking-president-trumps-claims,Fact Checking President Trump’s Claims About Signature Audits in Georgia,The president made false claims about audits in two counties.,06-01-2021
54,https://factcheck.thedispatch.com/p/did-democrats-object-the-last-three,Did Democrats Object the Last Three Times a Republican Won the White House?,A tweet from Charlie Kirk is partially correct but is missing context.,05-01-2021
55,https://factcheck.thedispatch.com/p/fact-check-explaining-the-claims,Fact Check: Explaining the Claims Made by ‘Whistleblower’ Jesse Morgan,Morgan says he observed a series of 'weird' events while working as a subcontractor for the U.S. Postal Service.,05-01-2021
56,https://factcheck.thedispatch.com/p/fact-checking-trumps-claims-from,Fact Checking Trump’s Claims From His Call With Brad Raffensperger,The president made numerous false claims about election fraud.,04-01-2021
57,https://factcheck.thedispatch.com/p/is-brad-raffenspeger-the-brother,Is Brad Raffenspeger the Brother of a Huawei Executive?,No.,31-12-2020
58,https://factcheck.thedispatch.com/p/nashville-bomb-att-building-rv-explosion,Did a Missile Blow Up the AT&T Building in Nashville?,No.,30-12-2020
