,url,headline,date,time
9,https://factcheck.afp.com/trump-retweets-false-claim-cdc-cut-covid-19-death-toll-94-percent,Trump retweets false claim that CDC cut Covid-19 death toll by 94 percent,03-09-2020,16:52
10,https://factcheck.afp.com/melania-trump-targeted-false-claims-white-house-rose-garden-redesign,Melania Trump targeted with false claims on White House Rose Garden redesign,28-08-2020,19:48
11,https://factcheck.afp.com/taps-bugle-melody-did-not-come-captain-grieving-his-son,‘Taps’ bugle melody did not come from a captain grieving his son,15-09-2020,22:34
12,https://factcheck.afp.com/trump-ends-republican-convention-false-and-misleading-claims,Trump ends Republican convention with false and misleading claims,28-08-2020,16:31
13,https://factcheck.afp.com/facebook-not-banning-trumps-election-ads,Facebook is not banning Trump’s election ads,27-08-2020,21:51
14,https://factcheck.afp.com/covid-19-poses-risks-children-and-health-authorities-recommend-they-wear-masks,"Covid-19 poses risks to children, and health authorities recommend they wear masks",27-08-2020,16:17
0,https://factcheck.afp.com/church-was-not-target-civil-unrest-wisconsin,Church was not target of civil unrest in Wisconsin,26-08-2020,22:58
1,https://factcheck.afp.com/cdc-program-involves-covid-19-vaccine-distribution-not-injection-north-dakota,"CDC program involves Covid-19 vaccine distribution, not injection, in North Dakota",26-08-2020,20:45
2,https://factcheck.afp.com/trump-son-makes-false-claims-second-night-republican-convention,Trump son makes false claims on second night of Republican convention,28-08-2020,19:55
3,https://factcheck.afp.com/republican-convention-opening-sees-stream-misleading-claims,Republican convention opening sees stream of misleading claims,25-08-2020,19:07
4,https://factcheck.afp.com/posts-criticize-democrats-not-wearing-masks-time-when-they-werent-recommended,Posts criticize Democrats for not wearing masks at a time when they weren’t recommended,24-08-2020,22:31
5,https://factcheck.afp.com/misleading-video-raises-fears-vote-mail-fraud,Misleading video raises fears of vote-by-mail fraud,21-08-2020,22:31
6,https://factcheck.afp.com/misleadingly-edited-kamala-harris-clip-used-claim-she-called-young-voters-stupid,Misleadingly edited Kamala Harris clip used to claim she called young voters 'stupid',21-08-2020,18:36
7,https://factcheck.afp.com/misleading-claims-about-covid-19-vaccine-spread-plandemic-video,Misleading claims about COVID-19 vaccine spread by ‘Plandemic’ video,20-08-2020,23:44
8,https://factcheck.afp.com/no-us-post-office-advisory-against-mailing-cash,US post office does not say ‘never’ mail cash,21-08-2020,16:36
